

















1/8:00-10:40/ LLC Academic Block I (R7) (50)/EW Lab/BCS-2F/Madiha Rehman
2/11:40-12:30/ E-31 Academic Block II (52)/UOQ/BCS-2F/Muhammad Hasham
3/1:30-2:20/ D-28 Academic Block II (50)/MVC/BCS-2F/Mairaj
4/2:25-4:05/ D-26 Academic Block II (50)/CCE/BCS-2F/Uzma Saleh
