





1/08:00-10:55/Academic Block II Lab-12(47)/DLD LAB/BCS-2F/Abdullah Yaqoob
2/1:00-1:55/ D-26 Academic Block II (50)/OOP/BCS-2F/Abeeha Sattar
3/2:00-2:55/ D-27 Academic Block II (50)/IRS/BCS-2F/Muhammad Hasham
